# AcneSafeCheck — full comedogenic ingredient database

> The complete AcneSafeCheck database: 559 cosmetic ingredients, each with a comedogenicity
> rating (0 = non-comedogenic / acne safe … 5 = highly pore-clogging) and a fungal-acne
> (Malassezia) trigger flag. Compiled from published comedogenicity references (Fulton et al.
> 1984, PMID 6229554; Draelos & DiNardo 2006, PMID 16488305; AAD guidance). A rating reflects
> an ingredient's potential at high concentration, not a verdict on any finished formula.
> Licence: CC BY 4.0 — cite acnesafecheck.com. Machine-readable: https://acnesafecheck.com/data/acnesafecheck-ingredients.json and .csv. Docs: https://acnesafecheck.com/data.html

Last updated: 2026-07-02

Format: Name | rating/5 | category | fungal-acne trigger yes/no | detail page
Shikakai Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/shikakai-extract.html
Silica | 0/5 | Mineral | FA-trigger: no | https://acnesafecheck.com/ingredient/silica.html
Silk Protein | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/silk-protein.html
Snail Secretion Filtrate | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/snail-secretion-filtrate.html
Snow Mushroom Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/snow-mushroom-extract.html
Sodium Acetylated Hyaluronate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-acetylated-hyaluronate.html
Sodium Anisate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-anisate.html
Sodium Ascorbyl Phosphate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-ascorbyl-phosphate.html
Sodium Benzoate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-benzoate.html
Sodium Chloride | 0/5 | Misc | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-chloride.html
Sodium Citrate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-citrate.html
Sodium Cocoyl Glycinate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-cocoyl-glycinate.html
Sodium Cocoyl Isethionate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-cocoyl-isethionate.html
Sodium Gluconate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-gluconate.html
Sodium Hyaluronate Crosspolymer | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-hyaluronate-crosspolymer.html
Sodium Hydroxide | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-hydroxide.html
Sodium Lactate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-lactate.html
Sodium Laureth Sulfate | 3/5 | Surfactant | FA-trigger: yes | https://acnesafecheck.com/ingredient/sodium-laureth-sulfate.html
Sodium Lauroyl Lactylate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-lauroyl-lactylate.html
Sodium Lauroyl Sarcosinate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-lauroyl-sarcosinate.html
Sodium Lauryl Sulfate | 5/5 | Surfactant | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-lauryl-sulfate.html
Sodium Levulinate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-levulinate.html
Sodium Metabisulfite | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-metabisulfite.html
Sodium Methyl Cocoyl Taurate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-methyl-cocoyl-taurate.html
Sodium PCA | 0/5 | Humectant | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-pca.html
Sodium Phytate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-phytate.html
Sodium Polyglutamate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-polyglutamate.html
Sodium Silicate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-silicate.html
Sodium Starch Octenylsuccinate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-starch-octenylsuccinate.html
Sodium Sulfite | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sodium-sulfite.html
Solanum Lycopersicum Fruit Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/solanum-lycopersicum-fruit-extract.html
Sorbic Acid | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sorbic-acid.html
Sorbitan Oleate | 3/5 | Emulsifier | FA-trigger: yes | https://acnesafecheck.com/ingredient/sorbitan-oleate.html
Sorbitan Sesquioleate | 3/5 | Emulsifier | FA-trigger: yes | https://acnesafecheck.com/ingredient/sorbitan-sesquioleate.html
Sorbitan Stearate | 1/5 | Emulsifier | FA-trigger: yes | https://acnesafecheck.com/ingredient/sorbitan-stearate.html
Sorbitol | 0/5 | Humectant | FA-trigger: no | https://acnesafecheck.com/ingredient/sorbitol.html
Soy Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/soy-extract.html
Soybean Oil | 3/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/soybean-oil.html
Spearmint Leaf Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/spearmint-leaf-extract.html
Spearmint Oil | 3/5 | Essential oil | FA-trigger: no | https://acnesafecheck.com/ingredient/spearmint-oil.html
Spinach Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/spinach-extract.html
Spirulina Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/spirulina-extract.html
Squalane | 1/5 | Oil | FA-trigger: no | https://acnesafecheck.com/ingredient/squalane.html
Squalene | 1/5 | Oil | FA-trigger: no | https://acnesafecheck.com/ingredient/squalene.html
St. Johns Wort Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/st-johns-wort-extract.html
Steareth-10 | 4/5 | Emulsifier | FA-trigger: yes | https://acnesafecheck.com/ingredient/steareth-10.html
Steareth-2 | 2/5 | Emulsifier | FA-trigger: yes | https://acnesafecheck.com/ingredient/steareth-2.html
Steareth-20 | 2/5 | Emulsifier | FA-trigger: yes | https://acnesafecheck.com/ingredient/steareth-20.html
Stearic Acid | 2/5 | Fatty acid | FA-trigger: yes | https://acnesafecheck.com/ingredient/stearic-acid.html
Stearyl Alcohol | 2/5 | Fatty alcohol | FA-trigger: yes | https://acnesafecheck.com/ingredient/stearyl-alcohol.html
Strawberry Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/strawberry-extract.html
Sucrose | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/sucrose.html
Sunflower Oil | 0/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/sunflower-oil.html
Sweet Almond Oil | 2/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/sweet-almond-oil.html
Talc | 1/5 | Mineral | FA-trigger: no | https://acnesafecheck.com/ingredient/talc.html
Tamanu Oil | 2/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/tamanu-oil.html
Tapioca Starch | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/tapioca-starch.html
Taraxacum Officinale Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/taraxacum-officinale-extract.html
Tartaric Acid | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/tartaric-acid.html
Tea Tree Oil | 1/5 | Essential oil | FA-trigger: no | https://acnesafecheck.com/ingredient/tea-tree-oil.html
Tetrahexyldecyl Ascorbate | 2/5 | Active | FA-trigger: no | https://acnesafecheck.com/ingredient/tetrahexyldecyl-ascorbate.html
Tetrasodium EDTA | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/tetrasodium-edta.html
Tetrasodium Glutamate Diacetate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/tetrasodium-glutamate-diacetate.html
Thiamine | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/thiamine.html
Thyme Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/thyme-extract.html
Tiger Grass Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/tiger-grass-extract.html
Titanium Dioxide | 1/5 | Sunscreen | FA-trigger: no | https://acnesafecheck.com/ingredient/titanium-dioxide.html
Tocopherol | 2/5 | Active | FA-trigger: yes | https://acnesafecheck.com/ingredient/tocopherol.html
Tocopheryl Acetate | 0/5 | Functional | FA-trigger: yes | https://acnesafecheck.com/ingredient/tocopheryl-acetate.html
Tomato Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/tomato-extract.html
Tranexamic Acid | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/tranexamic-acid.html
Trehalose | 0/5 | Humectant | FA-trigger: no | https://acnesafecheck.com/ingredient/trehalose.html
Tremella Fuciformis Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/tremella-fuciformis-extract.html
Triethanolamine | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/triethanolamine.html
Tripeptide-1 | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/tripeptide-1.html
Trisodium Ethylenediamine Disuccinate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/trisodium-ethylenediamine-disuccinate.html
Turmeric Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/turmeric-extract.html
Ubiquinone | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/ubiquinone.html
Urea | 0/5 | Humectant | FA-trigger: no | https://acnesafecheck.com/ingredient/urea.html
Urtica Dioica Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/urtica-dioica-extract.html
Vaccinium Myrtillus Fruit Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/vaccinium-myrtillus-fruit-extract.html
Vanilla Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/vanilla-extract.html
Vitis Vinifera Fruit Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/vitis-vinifera-fruit-extract.html
Water | 0/5 | Solvent | FA-trigger: no | https://acnesafecheck.com/ingredient/water.html
Watermelon Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/watermelon-extract.html
Wheat Bran Lipids | 2/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/wheat-bran-lipids.html
Wheat Germ Glyceride | 3/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/wheat-germ-glyceride.html
Wheat Germ Oil | 5/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/wheat-germ-oil.html
Wheat Protein | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/wheat-protein.html
White Tea Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/white-tea-extract.html
Willow Bark Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/willow-bark-extract.html
Witch Hazel | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/witch-hazel.html
Xanthan Gum | 0/5 | Thickener | FA-trigger: no | https://acnesafecheck.com/ingredient/xanthan-gum.html
Yarrow Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/yarrow-extract.html
Yeast Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/yeast-extract.html
Yerba Mate Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/yerba-mate-extract.html
Zinc Gluconate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/zinc-gluconate.html
Zinc Oxide | 1/5 | Sunscreen | FA-trigger: no | https://acnesafecheck.com/ingredient/zinc-oxide.html
Zinc PCA | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/zinc-pca.html
Zinc Stearate | 0/5 | Functional | FA-trigger: yes | https://acnesafecheck.com/ingredient/zinc-stearate.html
Zinc Sulfate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/zinc-sulfate.html
Zingiber Officinale Root Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/zingiber-officinale-root-extract.html
